Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"electric candles",8609,"Tools & Home Improvement",FBA,"Large Standard-Size",14,6006,22.36,10425,140471.37,17887,4.57,2,128875,-34,-2,-19,"Nov, 2025",7,8000,0.95
"candles electric",617,"Tools & Home Improvement",FBA,"Large Standard-Size",14,5362,19.34,7572,109919.38,13341,4.49,2,105896,356,-9,-23,"Nov, 2025",7,8000,1.65
"window electric candles",228,"Home & Kitchen",FBA,"Large Standard-Size",4,241271,21.66,154,2940.64,711,4.46,2,3871,,-110,-29,"Dec, 2024",5,1000,2.25
"tall electric candles",192,"Tools & Home Improvement",FBA,"Large Standard-Size",13,15551,21.79,2548,58590.3,5256,4.48,2,31868,223,0,-30,"Dec, 2025",1,8000,2.59
"electric advent candles",147,"Tools & Home Improvement",FBA,"Large Standard-Size",5,218547,19.89,352,8363.37,496,4.48,2,8283,13,-139,-27,"Dec, 2025",3,289,0.71
"advent candles electric",97,"Tools & Home Improvement",FBA,"Large Standard-Size",6,206012,19.77,360,8606.94,477,4.47,2,8435,10,-139,-27,"Dec, 2025",3,282,0.79
"electric menorah candles",79,"Home & Kitchen",FBA,"Large Standard-Size",6,723240,29.76,18,590.9,809,4.24,2,4197,37,-142,-16,"Dec, 2024",3,436,0.07
"candles electric flickering",323,"Tools & Home Improvement",FBA,"Large Standard-Size",14,4653,19.56,7490,108350.17,13655,4.54,2,99771,209,1,-21,"Nov, 2025",4,2000,1.68
"diwali candles electric",46,"Tools & Home Improvement",FBA,"Large Standard-Size",14,125054,11.9,7088,72099.43,11635,4.51,2,96670,13,-23,-29,"Oct, 2025",0,223,1.77
"electric candles variety",67,"Tools & Home Improvement",FBA,"Large Standard-Size",12,10916,23.78,2999,49955.71,6589,4.51,2,23227,18,-5,-33,"Dec, 2025",0,619,4.96
