Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"cat scratching post",182278,"Pet Supplies",FBA,"Large Standard-Size",8,4497,27.24,6865,181315.08,5148,4.55,2,64149,45,0,-25,"Dec, 2025",7,6000,2.96
"￼cat scratching post",506,"Pet Supplies",FBA,"Large Standard-Size",9,4245,30.37,5527,177118.63,6528,4.52,2,48621,38,-8,-49,"Dec, 2025",7,6000,2.59
"cat scratching post￼",574,"Pet Supplies",FBA,"Large Standard-Size",10,2961,30.76,8946,240413.16,7705,4.53,2,89006,33,30,-25,"Dec, 2025",7,6000,2.73
"cat scratching. post",388,"Pet Supplies",FBA,"Large Standard-Size",8,4555,29.37,6063,153112.24,6358,4.53,2,66443,39,30,-25,"Dec, 2025",7,1000,2.40
"scratching post cat",420,"Pet Supplies",FBA,"Large Standard-Size",8,3148,30.62,7928,215874.04,6875,4.57,2,79480,49,3,-44,"Dec, 2025",7,6000,2.59
"cat scratching post small",184,"Pet Supplies",FBA,"Large Standard-Size",7,11762,19.85,4873,105432.68,7249,4.34,2,54693,44,0,-46,"Dec, 2025",3,6000,2.29
"cute cat scratching post",956,"Pet Supplies",FBA,"Large Standard-Size",7,15555,34.08,2964,81187.7,3635,4.51,2,27161,32,-2,-27,"Dec, 2025",3,2000,1.22
"best cat scratching post",317,"Pet Supplies",FBA,"Large Standard-Size",7,4970,32.33,6752,178686.38,6502,4.55,2,67866,54,11,-38,"Dec, 2025",2,6000,2.01
"cat scratching post cactus",541,"Pet Supplies",FBA,"Large Standard-Size",5,37404,39.91,1625,46313.83,4255,4.52,2,19709,9,-2,-37,"Nov, 2025",2,724,0.92
"cat scratching post christmas",177,"Pet Supplies",FBA,"Large Standard-Size",5,169937,28.69,735,34781.99,2695,4.23,2,7867,294,0,-35,"Dec, 2025",3,1000,0.34
