Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
6,B0CSZ7WBYW,"Ninja | Freidora de aire | 4 en 1 Pro: freír al aire, asar, recalentar, deshidratar | Capacidad de 5QT, cabe hasta 4 libras de papas fritas | Temperatura máxima de 400°F | Cesta antiadherente y placa","https://m.media-amazon.com/images/I/71QwoGmcfUL._AC_UY218_.jpg","Ninja","$129.99","61","24,896","779","$3,236,223","96,993",4.70,AMZ,"$33.51","Kitchen & Dining",7,16.1" x 12.48" x 12.01","13.01","2024-03-05","764"
15,B07S6529ZZ,"Freidora de aire Ninja AF161 Max XL que cocina, cruje, asa, hornea, recalent, deshidrata, con capacidad de 5.2 litros y acabado de alto brillo, gris","https://m.media-amazon.com/images/I/61YhIy9LUvL._AC_UY218_.jpg","Ninja","$109.98","61","24,716","779","$2,718,298","96,977",4.70,AMZ,"$32.79","Kitchen & Dining",5,16.54" x 15.75" x 12.6","13.45","2019-07-05","2,469"
1,B0C33CHG99,"COSORI Freidora de aire TurboBlaze 9 en 1 de 6 Qt, revestimiento cerámico premium, 90°–450°F, calefacción precisa para resultados uniformes, freír al aire, asar, hornear, a la parrilla, secar","https://m.media-amazon.com/images/I/81lTKYX5LNL._AC_UY218_.jpg","Cosori","$89.87","45","28,781","914","$2,586,573","14,882",4.80,AMZ,"$29.01","Kitchen & Dining",11,15.98" x 14.09" x 13.31","13.89","2023-11-01","889"
23,B0DJFBDFZK,"Ninja Crispi - Freidora de aire de vidrio 4 en 1 | 450 °F | No tóxica | Contenedores de vidrio de 4 cuartos y 6 tazas con tapas | Microondas, congelador, lavavajillas | Max Crisp, Air Fry, Bake","https://m.media-amazon.com/images/I/71LIFg6xi2L._AC_UY218_.jpg","Ninja","$179.99","254","13,271","368","$2,388,565","6,034",4.60,AMZ,"$41.46","Kitchen & Dining",12,12.72" x 12.01" x 12.01","13.25","2024-12-05","489"
2,B07FDJMC9Q,"Ninja | Freidora de aire | Capacidad de 4 QT | 4 en 1: asa, crujiente, recalienta y deshidrata | Piezas aptas para el lavaplatos | Incluye 20 recetas fáciles y saludables | Compacto | Gris | AF101","https://m.media-amazon.com/images/I/71+8uTMDRFL._AC_UY218_.jpg","Ninja","$89.99","61","24,862","779","$2,237,323","96,993",4.70,AMZ,"$32.33","Kitchen & Dining",7,15.51" x 15.51" x 12.99","12.45","2018-08-13","2,795"
26,B01N5UPTZS,"Horno inteligente Breville BOV900BSS Freidora de aire Pro y horno de convección, de acero inoxidable cepillado","https://m.media-amazon.com/images/I/51jCxzgxYwL._AC_UY218_.jpg","Breville","$399.95","2,102","4,786","93","$1,914,002","12,733",4.40,AMZ,"$106.31","Kitchen & Dining",23,26.1" x 19.02" x 17.48","42.6","2017-02-02","3,352"
12,B09B7SB46R,"Emeril Lagasse Combo de Horno Tostador y Freidora de Aire Extra Grande con Puerta Francesa, 24 Funciones de Cocción y Controles Digitales, 7 Accesorios Incluidos, Acabado de Acero Inoxidable","https://m.media-amazon.com/images/I/81vY0UkbqnL._AC_UY218_.jpg","Emeril Lagasse","$199.99","741","7,954","196","$1,590,820","16,141",4.40,AMZ,"$55.03","Kitchen & Dining",13,19.21" x 19.02" x 17.72","26.9","2021-07-26","1,716"
3,B089TQWJKK,"Ninja DZ201 Foodi - Freidora de aire de 8 cuartos (8 qt) 6 en 1 con tecnología DualZone, 2 cestas con 2 canastas de freír independientes, Match Cook y Smart Finish para asar, tostar, deshidratar y más","https://m.media-amazon.com/images/I/61xMRA3NY4L._AC_UY218_.jpg","Ninja","$159.99","237","8,448","382","$1,351,520","24,553",4.80,AMZ,"$72.57","Kitchen & Dining",14,25.98" x 21.26" x 16.5","23.35","2020-09-01","2,045"
25,B0CNY1YVDD,"Chefman - Freidora de aire de 6 QT compacta para comidas rápidas y fáciles en minutos, cuenta con tecnología Hi-Fry para una textura extra crujiente, controles táctiles con 4 ajustes preestablecidos","https://m.media-amazon.com/images/I/71WCBoDBHsL._AC_UY218_.jpg","Chefman","$87.13","173","12,692","451","$1,105,824","2,306",4.60,AMZ,"$27.08","Kitchen & Dining",7,14.96" x 13.46" x 12.32","12.17","2024-05-22","685"
22,B07VM28XTR,"Instant Pot Vortex Plus - Freidora de aire de 10 cuartos de galón, horno de asado y convección 7 en 10, asado, hornear, deshidratar y calentar, con tecnología EvenCrisp, aplicación gratuita con más de 1900 recetas, 1500 W, acero inoxidable","https://m.media-amazon.com/images/I/81e8w3GbY0L._AC_UY218_.jpg","Instant Pot","$159.99","814","6,772","183","$1,083,414","71,653",4.50,AMZ,"$45.28","Kitchen & Dining",1,17.01" x 15" x 15","19.55","2019-08-20","2,423"
19,B09HSWBTN4,"Cuisinart Horno tostador con parrilla y freidora de aire, 1800W 8-1 Horno freidora de aire con opciones de hornear, hornear por convección, parrilla, asado y calentar, gran capacidad, temporizador de","https://m.media-amazon.com/images/I/71UIRKGLtYL._AC_UY218_.jpg","Cuisinart","$179.95","674","5,548","210","$998,308","7,105",4.40,AMZ,"$50.12","Kitchen & Dining",25,19.29" x 17.48" x 17.01","25.95","2021-10-05","1,645"
5,B08DL8WH9V,"CHEFMAN Freidora de aire digital multifuncional+ asador, deshidratador, horno de convección, 17 ajustes preestablecidos de pantalla táctil para freír, asar, deshidratar, hornear, tamaño familiar XL de","https://m.media-amazon.com/images/I/71s8nikz44L._AC_UY218_.jpg","Chefman","$79.91","354","10,741","310","$858,318","49,676",4.30,AMZ,"$34.03","Kitchen & Dining",10,18.11" x 14.96" x 14.96","14.9","2020-08-21","2,055"
