Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
11,B0C6Y89H47,"HelloBaby Monitor de Bebé Mejorado de 5'' con Batería de 30 Horas, 2 Cámaras Pan-Tilt-Zoom, Rango de 1000 pies Monitor de Video y Audio para Bebé Sin WiFi, VOX, Visión Nocturna, Comunicación","https://m.media-amazon.com/images/I/71sJUfcy8qL._AC_UY218_.jpg","HelloBaby","$99.99","48","26,427","803","$2,642,427","17,040",4.50,FBA,"$21.17","Baby Products",2,8.94" x 5" x 4.41","2.05","2023-06-02","1,041"
2,B09GM8JZM9,"HelloBaby Monitor de bebé sin WiFi, pantalla de 5 pulgadas, batería de 30 horas, video de panorámica/inclinación/zoom mejorado con cámara y audio, visión nocturna, VOX, conversación bidireccional, 8","https://m.media-amazon.com/images/I/61qMfoVil5L._AC_UY218_.jpg","HelloBaby","$63.16","48","26,217","803","$1,655,859","17,041",4.50,FBA,"$15.26","Baby Products",2,6.93" x 4.84" x 4.21","1.43","2021-07-05","1,738"
21,B0FTSL4FXJ,"Nanit Monitor de bebé Pro Smart - Cámara de video Wi-Fi de 1080p, audio de 2 vías, mira a tu bebé desde cualquier lugar, notificaciones de sonido/movimiento/llanto, visión nocturna","https://m.media-amazon.com/images/I/61cqkZ6CHoL._AC_UY218_.jpg","Nanit","$289.99","1,407","2,613","94","$757,787","233",4.50,AMZ,"$56.53","Baby Products",1,18.19" x 14.29" x 4.69","11.01","2025-10-03","187"
23,B08FF4GV5C,"Infant Optics DXR-8 PRO Monitor de Video para Bebé, Resolución HD 720P Pantalla de 5","https://m.media-amazon.com/images/I/71G9W+hypCL._AC_UY218_.jpg","Infant Optics","$199.99","1,255","2,839","103","$567,847","6,982",4.50,FBA,"$36.19","Baby Products",1,11.69" x 5.16" x 4.29","1.98","2020-08-07","2,069"
6,B0CYCDTZ6G,"HelloBaby - Monitor de bebé de 6 pulgadas, primera pantalla IPS del mundo, batería de 30 horas, seguro sin WiFi, cámara de video panorámica con visión nocturna, VOX, conversación de 2 vías, 1000 pies","https://m.media-amazon.com/images/I/71+Z6E4Z6UL._AC_UY218_.jpg","HelloBaby","$59.99","244","8,785","344","$527,013","1,736",4.50,FBA,"$14.94","Baby Products",2,7.52" x 4.92" x 4.13","1.57","2024-03-18","751"
19,B0DQXPWHSK,"Momcozy Monitor de bebé inteligente WiFi con cámara y audio, pantalla 1080P de 5 pulgadas con montaje en pared, detección de movimiento y llanto, valla segura, visión nocturna clara, batería de 5000 mAh, conversación de 2 vías, grabación de fotos y video, BM04","https://m.media-amazon.com/images/I/61wrNOxy3ML._AC_UY218_.jpg","Momcozy","$169.99","1,625","2,719","76","$462,149","424",4.20,FBA,"$32.13","Baby Products",3,8.23" x 6.77" x 4.29","2.51","2025-01-26","437"
12,B08V8RWP3W,"VTech VM819 - Monitor de bebé con cámara y audio, cámara portátil de bebé con pantalla de 2.8","https://m.media-amazon.com/images/I/61iOz2nkDNL._AC_UY218_.jpg","VTech","$49.95","461","7,743","229","$386,768","10,028",4.60,AMZ,"$12.20","Baby Products",15,6.46" x 5.55" x 3.31","0.95","2021-01-28","1,896"
9,B0866S3D82,"TP-Link Tapo - Cámara de seguridad interior de 1080P para monitor de bebé, cámara para perros con detección de movimiento, sirena de audio bidireccional, visión nocturna, almacenamiento en la nube y","https://m.media-amazon.com/images/I/61eXVrZMglL._AC_UY218_.jpg","---","$15.96","44","23,949","837","$382,219","24,919",4.40,AMZ,"$6.99","Baby Products",14,6.93" x 5.83" x 2.6","0.57","2020-08-17","2,059"
27,B07WCV632L,"VTech VM901 Smart WiFi Monitor de bebé con cámara FHD de 1080p y pantalla IPS HD de 5 pulgadas, aplicación gratuita, zoom de inclinación panorámica remoto, visión nocturna, alertas de detección de movimiento","https://m.media-amazon.com/images/I/71VQXSA-H7L._AC_UY218_.jpg","VTech","$129.95","1,811","2,239","67","$290,987","7,389",4,AMZ,"$25.78","Baby Products",6,10.28" x 6.42" x 3.86","2.07","2019-08-01","2,442"
24,B0GJ5CM3C9,"eufy Security Monitor de bebé E21 con cámara 4K UHD, pantalla de 720p de 5 pulgadas, panorámica y zoom de 8 ×, conexión Wi-Fi dual/local, grabación de aplicaciones 24/7, cámara portátil integrada con batería, ANR","https://m.media-amazon.com/images/I/61Gzl2nxLuL._AC_UY218_.jpg","eufy security","$179.99","2,107","1,552","57","$279,408","28",4.30,FBA,"$34.58","Baby Products",1,9.37" x 7.83" x 4.88","3.64","2026-01-22","76"
