Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
8,B0DN2ZCZX6,"JBL Charge 6 - Altavoz Bluetooth Portátil, Impermeable y a Prueba de Caídas, Sonido JBL Pro Potente con Refuerzo de Sonido AI, 28 Horas de Tiempo de Reproducción, Banco de Energía Integrado y Viene","https://m.media-amazon.com/images/I/71OAC2L15TL._AC_UY218_.jpg","JBL","$199.95","170","6,405","260","$1,280,689","4,243",4.70,AMZ,"$37.03","Electronics",20,10.31" x 5.79" x 4.76","2.93","2025-04-06","367"
3,B07QK2SPP7,"JBL - Altavoz Bluetooth FLIP 5 a prueba de agua, portátil, pequeño, negro","https://m.media-amazon.com/images/I/71XPqtugdsL._AC_UY218_.jpg","JBL","$89.95","145","9,287","286","$835,399","84,153",4.70,FBA,"$19.43","Electronics",4,8.35" x 4.49" x 4.02","1.63","2019-04-09","2,555"
9,B0CQ53RVTW,"Soundcore Boom 2 de Anker, altavoz para exteriores, 80 W, subwoofer, BassUp 2.0, tiempo de reproducción de 24 horas, IPX7 impermeable, flotante, luces RGB, USB-C, ecualizador personalizado, Bluetooth","https://m.media-amazon.com/images/I/71hacRj5-QL._AC_UY218_.jpg","SoundCore","$119.99","2,527","6,158","78","$738,898","6,989",4.70,FBA,"$26.46","Kitchen & Dining",1,13.58" x 11.02" x 5.87","4.63","2024-03-06","763"
23,B0DMYQ32SC,"JBL Flip 7 - Bocina portátil resistente al agua y a caídas, sonido JBL Pro potente con refuerzo de sonido AI, 16 horas de tiempo de reproducción y sistema PushLock con accesorios intercambiables (azul","https://m.media-amazon.com/images/I/81+oo1nCHWL._AC_UY218_.jpg","JBL","$149.95","257","4,659","201","$698,679","2,747",4.60,AMZ,"$28.68","Electronics",23,8.74" x 4.37" x 3.7","1.76","2025-03-10","394"
15,B0D6WD2QSQ,"Bose SoundLink Flex - Altavoz Bluetooth (2.ª generación), altavoz portátil para exteriores con audio de alta fidelidad, impermeable y resistente al polvo, USB-C, hasta 12 horas de duración de la","https://m.media-amazon.com/images/I/7192Qca-fUL._AC_UY218_.jpg","Bose","$119","192","5,232","241","$622,629","10,490",4.70,AMZ,"$23.79","Electronics",12,8.58" x 3.82" x 2.76","1.57","2024-09-26","559"
7,B0DV5H3S16,"Bose SoundLink Flex - Altavoz Bluetooth (2.ª generación), altavoz portátil para exteriores con audio de alta fidelidad, impermeable y a prueba de polvo, USB-C, hasta 12 horas de duración de la batería, azul crepúsculo, color edición limitada","https://m.media-amazon.com/images/I/61Qpcw7p2BL._AC_UY218_.jpg","Bose","$119","192","5,163","241","$614,374","10,484",4.70,AMZ,"$23.79","Electronics",8,8.5" x 3.78" x 2.72","1.63","2025-06-26","286"
20,B09YDS8BHK,"JBL Boombox 3 - Altavoz Bluetooth portátil negro con sonido masivo, graves más profundos, IPX7 impermeable, 24 horas de reproducción, PartyBoost","https://m.media-amazon.com/images/I/715CeFp-7NL._AC_UY218_.jpg","JBL","$299.95","877","1,820","74","$546,035","3,603",4.70,AMZ,"$60.63","Electronics",17,22.48" x 12.99" x 10.31","21","2022-09-08","1,307"
19,B0DK1MQ4GP,"Soundcore Anker 2, 12 W de doble controlador, altavoces Bluetooth portátiles para uso diario e inalámbricos, tiempo de reproducción de 24 horas, IPX7 resistente al agua, micrófono integrado, rango","https://m.media-amazon.com/images/I/61QUmQZfWGL._AC_UY218_.jpg","Anker","$39.99","78","12,792","420","$511,542","148,901",4.50,FBA,"$11.15","Electronics",1,8.35" x 2.83" x 2.44","1.01","2023-12-17","843"
29,B09944VF6S,"Anker Soundcore 2 - Altavoz Bluetooth portátil con sonido estéreo, Bluetooth 5, Bassup, IPX7 impermeable, tiempo de reproducción de 24 horas, inalámbrico, altavoz para el hogar, al aire libre, viajes, azul marino","https://m.media-amazon.com/images/I/61UvNDG713L._AC_UY218_.jpg","Anker","$39.99","78","10,783","420","$431,219","148,884",4.50,FBA,"$11.15","Electronics",1,8.31" x 2.87" x 2.36","1.01","2021-07-11","1,731"
31,B0CTNMJL8G,"JBL Clip 5 - Altavoz Bluetooth ultraportátil, impermeable y a prueba de polvo, gran sonido JBL Pro con graves impactantes, mosquetón integrado, hasta 12 horas de reproducción, fabricado en parte con","https://m.media-amazon.com/images/I/81XHCKho2ML._AC_UY218_.jpg","JBL","$59.95","141","6,960","291","$417,278","7,478",4.80,AMZ,"$13.96","Electronics",19,6.42" x 4.53" x 2.52","0.9","2024-05-19","689"
