Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
18,B0GFNDJPM2,"Sweetcrispy Torre de árbol para gatos de 54 pulgadas, torre de varios niveles con poste rascador para gatos, condominio interior para gatos con escalera de escalada, juguete de peluche, casa de juegos","https://m.media-amazon.com/images/I/71guai6ty-L._AC_UL320_.jpg","Sweetcrispy","$59.99","552","6,191","290","$371,369","1,868",4.50,AMZ,"$32.56","Pet Supplies",3,20" x 20" x 9.02","33.5","2026-01-09","88"
66,B0GFNDJPM2,"Sweetcrispy Torre de árbol para gatos de 54 pulgadas, torre de varios niveles con poste rascador para gatos, condominio interior para gatos con escalera de escalada, juguete de peluche, casa de juegos","https://m.media-amazon.com/images/I/71guai6ty-L._AC_UL320_.jpg","Sweetcrispy","$59.99","552","6,191","290","$371,369","1,868",4.50,AMZ,"$32.56","Pet Supplies",3,20.00" x 20.00" x 9.02","33.50","2026-01-09","88"
20,B0B2NKLVCS,"FUKUMARU Rascador para gatos, 26.8 pulgadas en forma de L, almohadilla para rascar para gatos montada en la pared, cartón rascador para gatos con pelota de juguete para gatos de interior, tamaño","https://m.media-amazon.com/images/I/710Pbd4i8fL._AC_UL320_.jpg","FUKUMARU","$24.79","551","10,836","290","$268,617","16,330",4.50,FBA,"$12.06","Pet Supplies",2,17.52" x 11.69" x 5.28","3.7","2022-04-27","1,441"
68,B0B2NKLVCS,"FUKUMARU Rascador para gatos, 26.8 pulgadas en forma de L, almohadilla para rascar para gatos montada en la pared, cartón rascador para gatos con pelota de juguete para gatos de interior, tamaño","https://m.media-amazon.com/images/I/710Pbd4i8fL._AC_UL320_.jpg","FUKUMARU","$24.79","551","10,836","290","$268,617","16,330",4.50,FBA,"$12.06","Pet Supplies",2,17.52" x 11.69" x 5.28","3.7","2022-04-27","1,441"
39,B0BZCB8MZP,"FUKUMARU Rascador para gatos, 18.7 pulgadas en forma de L, almohadilla para rascar para gatos montada en la pared, cartón rascador para gatos con pelota de juguete para gatos de interior","https://m.media-amazon.com/images/I/71MGRMYgNqL._AC_UL320_.jpg","FUKUMARU","$21.79","551","10,954","290","$238,697","16,313",4.50,FBA,"$11.13","Pet Supplies",1,17.64" x 10.08" x 5.08","2.71","2023-03-23","1,111"
87,B0BZCB8MZP,"FUKUMARU Rascador para gatos, 18.7 pulgadas en forma de L, almohadilla para rascar para gatos montada en la pared, cartón rascador para gatos con pelota de juguete para gatos de interior","https://m.media-amazon.com/images/I/71MGRMYgNqL._AC_UL320_.jpg","FUKUMARU","$21.79","551","10,954","290","$238,697","16,313",4.50,FBA,"$11.13","Pet Supplies",1,17.64" x 10.08" x 5.08","2.71","2023-03-23","1,111"
8,B0921T6QFC,"MECOOL Poste Rascador para Gatos de 34","https://m.media-amazon.com/images/I/61NyTXaUWOS._AC_UL320_.jpg","MECOOL","$28.97","830","6,427","217","$186,187","14,764",4.60,FBA,"$12.45","Pet Supplies",1,16.77" x 8.66" x 5.59","7.25","2021-04-07","1,825"
56,B0921T6QFC,"MECOOL Poste Rascador para Gatos de 34","https://m.media-amazon.com/images/I/61NyTXaUWOS._AC_UL320_.jpg","MECOOL","$28.97","830","6,427","217","$186,187","14,764",4.60,FBA,"$12.45","Pet Supplies",1,16.77" x 8.66" x 5.59","7.25","2021-04-07","1,825"
26,B0D2HMV3S6,"FDW | Torre para Gatos de 54","https://m.media-amazon.com/images/I/71mSRXiQNlL._AC_UL320_.jpg","FDW","$38.99","1,590","4,734","136","$184,573","6,292",4.20,AMZ,"$27.34","Pet Supplies",5,20.71" x 19.69" x 7.72","29.2","2024-04-23","714"
74,B0D2HMV3S6,"FDW | Torre para Gatos de 54","https://m.media-amazon.com/images/I/71mSRXiQNlL._AC_UL320_.jpg","FDW","$38.99","1,590","4,734","136","$184,573","6,292",4.20,AMZ,"$27.34","Pet Supplies",5,20.71" x 19.69" x 7.72","29.2","2024-04-23","714"
4,B07G3SLKQ8,"Amazon Basics Poste rascador alto para gatos con fibra de yute y alfombra marrón, grande, 15.75 pulgadas de largo x 15.75 pulgadas de ancho x 35.43 pulgadas de alto","https://m.media-amazon.com/images/I/717LhjmdrhL._AC_UL320_.jpg","Amazon Basics","$40.35","1,617","4,481","134","$180,797","8,713",4.60,AMZ,"$20.06","Pet Supplies",4,33.86" x 8.5" x 8.27","17.42","2018-12-03","2,681"
52,B07G3SLKQ8,"Amazon Basics Poste rascador alto para gatos con fibra de yute y alfombra marrón, grande, 15.75 pulgadas de largo x 15.75 pulgadas de ancho x 35.43 pulgadas de alto","https://m.media-amazon.com/images/I/717LhjmdrhL._AC_UL320_.jpg","Amazon Basics","$40.35","1,617","4,481","134","$180,797","8,713",4.60,AMZ,"$20.06","Pet Supplies",4,33.86" x 8.5" x 8.27","17.42","2018-12-03","2,681"
