Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
8,B00B8CG602,"Prevención y tratamiento de pulgas de gatos grandes Advantage XD para gatos de más de 9 libras. | 2 dosis tópicas, 2 meses de protección por dosis","https://m.media-amazon.com/images/I/71Z9LppzSnL._AC_UL320_.jpg","Seresto","$59.92","18","35,726","1,384","$2,140,728","112,448",4.50,AMZ,"$13.20","Pet Supplies",3,4.84" x 4.8" x 1.46","0.29","2013-01-28","4,818"
26,B0FMLGHHJ7,"Collar Halo 5, Nueva Valla Inalámbrica para Perros y Collar GPS para Perro, Requiere Suscripción, Resistente al Agua, Grafito, Talla Única","https://m.media-amazon.com/images/I/810lKmsfkeL._AC_UL320_.jpg","Halo","$524","2,131","3,434","103","$1,799,544","342",4,FBA,"$84.01","Pet Supplies",1,8.9" x 5.83" x 2.01","1.17","2025-08-24","226"
24,B00B8CG58U,"Seresto Collar de pulgas y garrapatas para perros, pulgas de 8 meses y collar de garrapatas para perros pequeños, hasta 18 libras","https://m.media-amazon.com/images/I/719A5cR550L._AC_UL320_.jpg","Seresto","$59.92","149","16,587","627","$993,899","52,950",4.40,AMZ,"$12.98","Pet Supplies",2,4.84" x 4.8" x 1.46","0.22","2013-01-28","4,818"
11,B0FN7S5WMJ,"Jugbow Collar de choque para perro, collar de entrenamiento para perros de 4500 pies con control remoto, IPX8 impermeable, collar eléctrico para perro con 4 modos de entrenamiento, bloqueo de","https://m.media-amazon.com/images/I/71-TRTqhXcL._AC_UL320_.jpg","Jugbow","$37.97","219","18,419","498","$699,357","2,434",4.30,FBA,"$10.01","Pet Supplies",7,6.97" x 4.92" x 2.36","0.64","2025-08-21","230"
25,B01CRLQBXO,"Educator ET-300 Mini Collar E para entrenamiento de perros con control remoto - Alcance de 1/2 milla, impermeable, 100 niveles de estimulación suave, modo de tono o vibración, seguimiento de luz","https://m.media-amazon.com/images/I/81DNwto+2dL._AC_UL320_.jpg","Educator","$199.99","1,996","3,197","109","$639,439","8,465",4.40,FBA,"$35.79","Pet Supplies",1,11.81" x 7.44" x 1.54","1.3","2016-03-10","3,681"
20,B09VT74GKL,"Collar Antiladridos para Perros de Tamaño Grande, Mediano y Pequeño, Collar Antiladridos Inteligente Recargable, Collar de Adiestramiento Antiladridos con 5 Niveles de Vibración Ajustables de","https://m.media-amazon.com/images/I/71g9njORXzL._AC_UL320_.jpg","FAFAFROG","$37.97","253","13,174","456","$500,208","17,152",4.30,FBA,"$9.76","Pet Supplies",10,3.9" x 3.19" x 2.28","0.37","2022-03-17","1,483"
33,B0BCFKDK13,"Bousnic Collar de entrenamiento con choque para perros, para 2 perros (2.3-54.4 kg) - Collar de entrenamiento impermeable de 1005 m (3300 pies) para perros grandes, medianos y pequeños con control","https://m.media-amazon.com/images/I/81TAxOIuUdL._AC_UL320_.jpg","Bousnic","$59.99","702","7,703","244","$462,131","14,809",4.20,FBA,"$13.97","Pet Supplies",5,7.09" x 5.71" x 1.73","0.97","2022-08-30","1,317"
62,B000A09C4K,"Sistema inalámbrico de contención para mascotas PetSafe, collar receptor para perros y gatos de más de 5 libras, impermeable con tono y corrección estática","https://m.media-amazon.com/images/I/71kwlGNBJaL._AC_UL320_.jpg","PetSafe","$85","1,381","4,716","151","$400,893","4,990",4.50,AMZ,"$18.16","Pet Supplies",16,7.36" x 5.83" x 3.78","0.51","2024-04-09","729"
23,B0BCDH7CS1,"Bousnic Collar de choque para perro, collar de entrenamiento para perros de 3300 pies con control remoto para perros pequeños, medianos y grandes, recargable, impermeable, collar electrónico con","https://m.media-amazon.com/images/I/71g4bAtfryL._AC_UL320_.jpg","Bousnic","$39.99","285","8,582","425","$343,191","18,916",4.20,FBA,"$10.31","Pet Supplies",3,6.73" x 5.71" x 1.77","0.73","2022-09-05","1,311"
35,B0CFX9F59C,"Collar de Choque para Perros Jugbow - Collar de Entrenamiento para Perros de 1280M con Control Remoto Innovador IPX7 Impermeable con 4 Modos de Entrenamiento, Collar Electrónico Recargable para Todas","https://m.media-amazon.com/images/I/81GrhcfEMeL._AC_UL320_.jpg","Jugbow","$42.99","1,026","5,870","186","$252,338","14,758",3.90,FBA,"$10.76","Pet Supplies",5,6.89" x 5" x 2.48","0.64","2023-08-17","965"
94,B0D83MQBZ3,"PetSafe Guardian - Valla para perros con GPS - Tecnología avanzada AccuGuard - Valla virtual inalámbrica - No requiere suscripción - Collar impermeable con batería de larga duración - Fácil de configurar","https://m.media-amazon.com/images/I/61D0q2cEHaL._AC_UL320_.jpg","PetSafe","$355.19","8,587","656","24","$233,077","184",3.50,AMZ,"$61.58","Pet Supplies",9,11.54" x 11.5" x 6.26","0.04","2025-02-24","408"
66,B0CYBNZR8N,"Jugbow Collar de choque para perros, 2 perros (10-120 libras) – Collar de entrenamiento de perros de 4200 pies con control remoto IPX7, impermeable, collar eléctrico con 4 modos de entrenamiento, bloqueo de seguridad, collar electrónico recargable para todas las razas, tamaños","https://m.media-amazon.com/images/I/81CNuRafCpL._AC_UL320_.jpg","Jugbow","$55.99","2,009","3,933","109","$220,183","2,767",4.10,FBA,"$13.37","Pet Supplies",4,7.01" x 6.57" x 2.24","0.86","2024-03-18","751"
71,B01276FRQG,"Garmin Sport PRO Bundle, Collar de entrenamiento para perros y de mano, entrenamiento con una mano de hasta 3 perros, tono y vibración","https://m.media-amazon.com/images/I/81wFKBZXkAL._AC_UL320_.jpg","Garmin","$299.99","7,481","728","29","$218,362","1,501",4.60,AMZ,"$50.41","Pet Supplies",12,6.81" x 5.51" x 3.31","1.19","2015-07-20","3,915"
82,B09VXN6CM3,"Bousnic Collar de Descarga para Perros – Collar de Entrenamiento Eléctrico Impermeable Recargable con Control Remoto para Perros Pequeños, Medianos y Grandes con Pitido, Vibración, Modos de Descarga","https://m.media-amazon.com/images/I/61Ruo0DKx2S._AC_UL320_.jpg","Bousnic","$49.99","1,643","3,763","133","$188,119","13,402",4.20,FBA,"$11.81","Pet Supplies",3,6.34" x 6.3" x 1.69","0.57","2022-03-18","1,482"
57,B0GMZ73XP6,"Collar antiladridos para perros grandes, medianos y pequeños, collar eficaz sin ladridos, collar inteligente para ladridos, collar antiladridos recargable con sensibilidad de 7 niveles, 3 modos B y V, impermeable, naranja neón","https://m.media-amazon.com/images/I/81PlzX0hRgL._AC_UL320_.jpg","KJKZO","$24.68","570","7,203","283","$177,770","4,213",4.50,FBA,"$7.54","Pet Supplies",7,3.58" x 2.6" x 2.05","0.24","2026-02-12","55"
72,B00J5KGZE6,"PetSafe Stay & Play Valla Inalámbrica para Mascotas, Collar Receptor Recargable de Valla Inalámbrica para Perros, Diseño Impermeable, Compatible con Todas las Vallas Inalámbricas PetSafe, Sistema","https://m.media-amazon.com/images/I/71ZTR1BA0KL._AC_UL320_.jpg","PetSafe","$106.99","3,538","1,504","63","$160,886","2,299",4.50,AMZ,"$21.46","Pet Supplies",14,7.4" x 5.91" x 3.31","0.55","2011-08-31","5,333"
93,B0DWSWLFR2,"Collar inteligente Oliry con AI para perros grandes, medianos y pequeños, dispositivo antiladridos con 5 modos de entrenamiento, parada forzada exclusiva de ladridos, collar de ladridos recargable con","https://m.media-amazon.com/images/I/81-PF+iwMeL._AC_UL320_.jpg","Oliry","$39.98","1,720","3,813","129","$152,457","1,615",4.60,FBA,"$10.06","Pet Supplies",4,3.9" x 3.23" x 2.32","0.37","2025-04-14","359"
67,B0D47XXMTG,"Collar de choque de perro 2 en 1 y collar de ladrido de perro, collar inteligente de entrenamiento para perros antiladridos con 5 sensibilidades ajustables y control remoto de 3300 pies para todas las razas, IP67, impermeable, recargable, collar electrónico (blanco)","https://m.media-amazon.com/images/I/71kgGCbVQ7L._AC_UL320_.jpg","Colofrog","$59.99","2,976","2,459","74","$147,539","2,709",4.50,FBA,"$13.97","Pet Supplies",1,6.69" x 6.26" x 1.97","0.88","2024-05-24","684"
76,B09QC9SSR4,"Collar de entrenamiento para perros con control remoto, collar electrónico de descarga para perro de 4200 pies con pitido, vibración, descarga, luz y modo sin descarga, juego de collar de","https://m.media-amazon.com/images/I/7110oucB48L._AC_UL320_.jpg","slopehill","$39.99","2,522","3,561","87","$142,418","7,790",4.20,FBA,"$10.71","Pet Supplies",3,6.57" x 5.91" x 2.13","0.86","2022-01-13","1,546"
73,B00AN64IGI,"PetSafe Stay & Play - Collar receptor de valla inalámbrica para perros obstinados - Collar receptor recargable e impermeable con carga rápida en 2-3 horas - para perros de 5 libras o más","https://m.media-amazon.com/images/I/71VIehMDiBL._AC_UL320_.jpg","PetSafe","$92","5,546","1,545","41","$142,135","2,627",4.50,AMZ,"$19.21","Pet Supplies",11,7.52" x 6.22" x 3.35","0.55","2012-12-12","4,864"
7,B088BJVRGP,"Joytale - Collar reflectante para perro, collar de nailon transpirable con acolchado de neopreno suave para mascotas, ajustable para perros grandes, morado, talla L","https://m.media-amazon.com/images/I/81WKfPCkSwL._AC_UL320_.jpg","Joytale","$8.99","227","14,761","487","$132,700","61,173",4.60,FBA,"$4.26","Pet Supplies",1,9.13" x 1.61" x 1.02","0.2","2020-05-28","2,141"
2,B088BLS41Z,"Joytale - Collar reflectante para perro, collar de nailon transpirable con acolchado de neopreno suave para mascotas, ajustable para perros grandes, negro, talla L","https://m.media-amazon.com/images/I/81DztDiZ9fL._AC_UL320_.jpg","Joytale","$8.99","227","14,760","487","$132,690","61,101",4.60,FBA,"$4.26","Pet Supplies",1,9.21" x 2.13" x 1.14","0.18","2020-05-28","2,141"
1,B08CK5Z5Q1,"Joytale - Collar reflectante para perro, collar de nailon transpirable con acolchado de neopreno suave para mascotas, ajustable para perros grandes, verde azulado, talla L","https://m.media-amazon.com/images/I/81bQ7rGm5rL._AC_UL320_.jpg","Joytale","$7.99","227","14,840","487","$118,572","61,173",4.60,FBA,"$4.11","Pet Supplies",1,9.13" x 2.09" x 1.1","0.18","2020-07-28","2,080"
68,B07VLYD6PJ,"Supet - Collar de recuperación para mascotas, collar isabelino de plástico para usar después de la cirugía, es práctico, ajustable y cómodo, para perros grandes, medianos y pequeños","https://m.media-amazon.com/images/I/61KBlgVrZLL._AC_UL320_.jpg","Supet","$15.29","565","7,349","285","$112,372","16,768",4.20,FBA,"$6.24","Pet Supplies",1,11.02" x 5.91" x 0.79","0.42","2019-08-26","2,417"
56,B0BWQT95JG,"Collar de choque para perros 2 perros (15-150 libras) con luz intermitente para paseos nocturnos, collar de entrenamiento de perro de 4500 pies, tono ajustable (1-8), vibración (1-16), choque seguro (1-99) y bloqueo de teclado","https://m.media-amazon.com/images/I/813ZRX7ozRL._AC_UL320_.jpg","Nikketta","$59.99","3,524","1,787","63","$107,204","4,085",4.30,FBA,"$14.79","Pet Supplies",3,8.5" x 6.3" x 2.24","1.26","2023-02-24","1,139"
61,B0002C7FI6,"Collar receptor PetSafe Deluxe para perros y gatos de más de 8 libras, impermeable, ultraligero, con tono y corrección estática","https://m.media-amazon.com/images/I/71qrr01YX4L._AC_UL320_.jpg","PetSafe","$59.99","3,568","1,766","62","$105,962","2,807",4.40,AMZ,"$14.79","Pet Supplies",10,8.39" x 6.14" x 3.5","0.37","2024-04-09","729"
75,B0BXS3VZVJ,"Mayerzon Collar de perro sin tirones, collar de Martingala patentado para perros pequeños, medianos y grandes, con hebilla y nailon resistente para caminar, entrenamiento de caza, seguro y fácil de","https://m.media-amazon.com/images/I/71x3GPOc+eL._AC_UL320_.jpg","Mayerzon","$27.99","1,925","3,640","119","$101,877","1,347",4.50,FBA,"$8.15","Pet Supplies",1,10" x 2.48" x 2.2","0.42","2023-06-01","1,042"
51,B0075RW2KC,"Collar para perros personalizado, collares bordados con nombre de mascota y número de teléfono, azul, negro, rosa, rojo y naranja collares para perros macho y hembra: 4 tamaños ajustables: extrapequeño, pequeño, mediano y grande","https://m.media-amazon.com/images/I/91DsjHr-3pL._AC_UL320_.jpg","GoTags","$18.95","1,603","4,150","135","$78,635","31,893",4.60,FBM,"$6.79","Pet Supplies",1,9.29" x 2.68" x 1.57","0.07","2012-03-01","5,150"
32,B09WHDG6RL,"Collar de Punta para Perros, Collar de Entrenamiento de Perros, Collar de Pellizco Ajustable para Perros sin Tirones con Hebilla de Liberación Rápida para Perros Pequeños, Medianos y Grandes","https://m.media-amazon.com/images/I/71nSEjtxpcL._AC_UL320_.jpg","safiman","$19.99","1,606","3,807","135","$76,104","4,588",4.20,FBA,"$7.60","Pet Supplies",2,6.5" x 5.12" x 1.85","0.79","2022-03-25","1,475"
4,B0962R78HN,"DAGANXI - Collar táctico para perro, collar ajustable de nailon para adiestramiento con asa de control y hebilla, para perros medianos y grandes, con parches y funda para AirTag (L, negro)","https://m.media-amazon.com/images/I/81fZnXqQJ4S._AC_UL320_.jpg","DAGANXI","$13.99","1,372","4,617","151","$64,587","13,587",4.40,FBA,"$6.30","Pet Supplies",1,8.9" x 5.24" x 1.65","0.35","2021-05-29","1,775"
19,B0CZ6ZHZ3K,"Didog Collares de piel sintética suave para perros medianos, clásicos ajustables con hebilla de metal de liberación rápida, fácil de limpiar y cómodo, verde, M para cuellos de 13 a 19”","https://m.media-amazon.com/images/I/91-fAI6YIyL._AC_UL320_.jpg","Didog","$15.99","1,916","3,817","119","$61,030","769",4.50,FBA,"$6.13","Pet Supplies",8,9.96" x 1.97" x 0.87","0.15","2024-04-27","711"
