Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
25,B0CTJGJL2T,"Lámpara calentadora de velas con temporizador regulable, altura ajustable, regalos de inauguración de la casa, decoración de habitación del hogar, regalos de cumpleaños para mujeres y mamá,","https://m.media-amazon.com/images/I/810vcJJDrkL._AC_UL320_.jpg","GODONLIF","$19.99","157","30,240","939","$604,495","7,447",4.70,FBA,"$9.10","Home & Kitchen",36,9.72" x 5.87" x 5.63","1.85","2024-01-30","798"
1,B06XCTP65H,"Homemory 24 velas parpadeantes sin llama que funcionan con pilas, más de 200 horas de luces LED eléctricas falsas para decoración votiva, de mesa de centro de mesa, boda, aniversario, Halloween","https://m.media-amazon.com/images/I/617Ai2XeEoL._AC_UL320_.jpg","Homemory","$11.99","62","33,805","995","$405,318","75,488",4.70,FBA,"$6.11","Tools & Home Improvement",2,9.53" x 6.38" x 1.46","0.64","2017-03-01","3,324"
27,B07T58ZJQT,"Homemory - Paquete de 12 velas votivas LED sin llama, funciona con baterías, velas de té falsas eléctricas de más de 200 horas para uso votivo, aniversario, centro de mesa de bodas, funeral, Halloween","https://m.media-amazon.com/images/I/61DN9xd3DoL._AC_UL320_.jpg","Homemory","$7.99","62","33,882","995","$270,720","75,463",4.70,FBM,"$4.44","Tools & Home Improvement",2,6.61" x 4.65" x 1.46","0.33","2019-06-17","2,486"
4,B01EDKGFGU,"Homemory - 12 velas de té LED, sin llama, a pilas, duran más de 200 horas, falsas, eléctricas, ideales como vela votiva, para aniversarios, centros de mesa de boda, funerales, Halloween y Navidad","https://m.media-amazon.com/images/I/617Ai2XeEoL._AC_UL320_.jpg","Homemory","$6.99","62","34,084","995","$238,247","75,488",4.70,FBA,"$4.94","Tools & Home Improvement",2,10.24" x 8.11" x 1.5","0.35","2016-04-17","3,642"
39,B0CDRDK6MR,"Lámpara calefactora de velas seenlast con temporizador y atenuador de altura ajustable para dormitorio de nueva casa, regalos para el Día de la Madre, decoración vintage para hogar con jarra perfumada","https://m.media-amazon.com/images/I/71lTyTayb4L._AC_UL320_.jpg","Seenlast","$25.98","2,628","6,579","199","$170,931","3,768",4.30,FBA,"$10.16","Home & Kitchen",5,10" x 6.93" x 5.08","2.16","2023-09-04","946"
13,B0CMM4T6XV,"Juego de 24 velas impermeables sin llama para exteriores, velas LED con 4 controles remotos y temporizador, (4 pulgadas, 5 pulgadas, 6 pulgadas x 2.2 pulgadas de profundidad), para Navidad","https://m.media-amazon.com/images/I/61mydpWDhgL._AC_UL320_.jpg","YOROXRG","$39.99","2,594","3,080","85","$123,162","1,009",4.50,FBA,"$13.64","Tools & Home Improvement",1,15.55" x 9.37" x 4.53","3.86","2023-11-04","885"
65,B0BWJRJYS7,"Marycele Lámpara calentadora de velas con temporizador y atenuador, regalos para el día de la madre para mujeres, mamá, ella, decoración estética de oficina y hogar, derretidor de cera de altura ajustable para tarro de velas y velas de 3 mechas (2 bombillas incluidas)","https://m.media-amazon.com/images/I/71zstznPjvL._AC_UL320_.jpg","Marycele","$23.99","5,113","5,092","125","$122,167","4,928",4.60,FBA,"$10.81","Home & Kitchen",6,10.67" x 8.19" x 5.83","2.4","2023-04-11","1,092"
78,B0DDX8MYKQ,"Hong-in Lámpara calentadora de velas con regulador de temporizador, regalos de cumpleaños para mujeres y madres, regalos de inauguración de la casa, decoración de habitación del hogar, calentador de","https://m.media-amazon.com/images/I/71ObJ0hJRJL._AC_UL320_.jpg","Hong-in","$22.49","3,723","5,418","163","$121,847","1,590",4.60,FBA,"$9.29","Home & Kitchen",22,12.17" x 5.04" x 4.92","1.96","2024-11-08","515"
14,B0BW33BV1T,"Velas sin llama con control remoto, velas parpadeantes sin llama, funcionan con pilas, velas LED con temporizador de 2/4/6/8 horas, velas LED realistas, juego de 9 (3 pulgadas de profundidad","https://m.media-amazon.com/images/I/61QULPFcJoL._AC_UL320_.jpg","Nimiko","$29.99","2,239","3,843","97","$115,237","2,038",4.50,FBA,"$11.66","Tools & Home Improvement",1,15" x 9.57" x 3.07","1.52","2023-02-17","1,145"
2,B07D266SGW,"Vinkor Velas sin llama con funcionamiento a batería, Velas de pilar de cera real LED con control remoto de 10 teclas y temporizador de ciclo de 24 horas (Marfil 4","https://m.media-amazon.com/images/I/619kPtJskWL._AC_UL320_.jpg","Vinkor","$23.99","1,574","4,230","133","$101,478","24,722",4.40,FBA,"$11.16","Tools & Home Improvement",1,12.28" x 8.7" x 5.75","3.57","2018-05-13","2,885"
56,B0B2V6RJJ3,"Homemory - Paquete de 24 velas flotantes LED sin llama de 3 pulgadas, 200 horas de duración, blancas, a pilas, impermeables, velas de té para jarrones cilíndricos, centros de mesa para decoración de","https://m.media-amazon.com/images/I/61MHL2GsNsL._AC_UL320_.jpg","Homemory","$24.69","5,202","3,964","123","$97,876","1,702",4.70,FBA,"$10.07","Home & Kitchen",5,12.32" x 6.06" x 4.84","2.07","2022-03-08","1,491"
17,B0BXCYHTGN,"Velas LED sin llama con temporizador, juego de 5 velas parpadeantes sin llama para ambiente romántico y decoración del hogar, carcasa acrílica estable, con cadena de luces de estrellas","https://m.media-amazon.com/images/I/71OGdS2e7ML._AC_UL320_.jpg","kakoya","$27.99","2,591","3,242","85","$90,731","5,583",4.50,FBA,"$10.13","Tools & Home Improvement",1,11.42" x 8.82" x 2.44","1.54","2023-03-03","1,131"
18,B07YHPRWSF,"GenSwin Velas cónicas de color marfil sin llama parpadeantes con control remoto de 10 teclas, funciona con pilas, velas LED cálidas con mecha 3D para ventana, cera real, paquete de 6, decoración de","https://m.media-amazon.com/images/I/51GXYOeSQcL._AC_UL320_.jpg","GenSwin","$15.99","1,269","5,242","153","$83,815","14,869",4.50,FBA,"$7.11","Tools & Home Improvement",2,11.02" x 6.3" x 1.34","0.95","2019-09-28","2,383"
3,B07DN39C5J,"SHYMERY Velas votivas sin llama, velas falsas eléctricas parpadeantes sin llama, paquete de 24 velas LED de té LED de más de 200 horas a pilas en blanco cálido para bodas, mesas, Halloween,","https://m.media-amazon.com/images/I/6107PTS3yHL._AC_UL320_.jpg","SHYMERY","$11.99","988","5,988","180","$71,798","27,091",4.70,FBA,"$6.51","Tools & Home Improvement",2,9.53" x 6.42" x 1.97","0.64","2018-06-04","2,864"
