Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
14,B0C7GLP26Y,"Ahopegarden Sistema de cultivo hidropónico de jardín interior: Kit de germinación de plantas de 10 vainas, lámpara de crecimiento de hierbas y verduras para encimera con luz LED de cultivo - Plantador hidrófónico cultivador cosecha lechuga","https://m.media-amazon.com/images/I/81RG7gvrSdL._AC_UL320_.jpg","Ahopegarden","$65.99","2,328","3,572","84","$235,737","3,041",4.60,FBA,"$18.09","Patio, Lawn & Garden",6,13.39" x 7.8" x 7.76","3.66","2023-06-12","1,030"
2,B0B6BB4TVC,"Ahopegarden Sistema de cultivo hidropónico de jardín interior: Kit de germinación de plantas de 10 vainas, lámpara de crecimiento de hierbas y verduras para encimera con luz LED de cultivo - Plantador","https://m.media-amazon.com/images/I/813MA4ZTVHL._AC_UL320_.jpg","Ahopegarden","$55.99","2,327","3,519","84","$197,047","3,041",4.60,FBA,"$16.36","Patio, Lawn & Garden",2,13.31" x 7.83" x 7.76","3.59","2022-07-12","1,365"
38,B0BPGH7RMS,"Bstrip Invernadero de interior con luz de cultivo, estante para plantas DIY con cubierta, soporte para plantas de 6 niveles, paquete de 5 luces de cultivo de espectro completo de 150W con modo de 3","https://m.media-amazon.com/images/I/71lfoy7wzxL._AC_UL320_.jpg","Bstrip","$229.49","15,488","845","15","$193,864","716",4.50,FBA,"$56.03","Patio, Lawn & Garden",1,30" x 15" x 8.39","37.05","2022-12-08","1,216"
27,B0BJ2NQ9CZ,"Kit de 166 piezas de cápsulas hidropónicas: Compatible con kits de hierbas Grow Anything de Aerogarden - Incluye esponjas de cultivo, cestas de cultivo, cúpulas de cultivo, etiquetas y","https://m.media-amazon.com/images/I/81fQ1WsFP0L._AC_UL320_.jpg","GARDENCUBE","$23.99","2,157","5,099","90","$122,319","2,125",4.50,FBA,"$9.02","Patio, Lawn & Garden",1,7.2" x 6.06" x 4.65","1.2","2024-04-07","730"
39,B0CMQ4VMHM,"VIVOSUN Smart Pro - Kit de tienda de cultivo 4 × 4, sistema completo de cultivo inteligente con control automático integrado WiFi, GrowHub E42A +, luz LED de crecimiento de espectro sintonizable 2 en 1, sistema de ventilación y control de circulación de 360°","https://m.media-amazon.com/images/I/81NVmg2xQwL._AC_UL320_.jpg","VIVOSUN","$762.59","45,521","160","4","$121,965","307",4.40,FBA,"$194.21","Patio, Lawn & Garden",1,50.98" x 18.5" x 15.98","95.5","2023-11-06","883"
3,B0BL3GG6J3,"Sistema de cultivo hidropónico LetPot LPH-SE, kit de jardín de hierbas inteligente de 12 cápsulas para interior, jardín interior, controlado por APP y WiFi, con LED de crecimiento de 24W, tanque de","https://m.media-amazon.com/images/I/81k-jJm+DXL._AC_UL320_.jpg","LetPot","$95.97","3,432","1,240","59","$118,958","2,006",4.40,FBA,"$23.23","Patio, Lawn & Garden",1,17.48" x 8.07" x 7.72","5.31","2022-11-01","1,253"
43,B0CTRTJBC3,"AeroGarden Harvest Lite en crema, jardín hidropónico interior sin tierra con luz LED de cultivo para jardinería durante todo el año de hasta 6 hierbas y verduras","https://m.media-amazon.com/images/I/71JctCtzLSL._AC_UL320_.jpg","AeroGarden","$79.53","6,896","1,490","32","$118,536","1,081",3.90,AMZ,"$19.80","Patio, Lawn & Garden",69,12.05" x 7.52" x 7.32","3.79","2024-04-08","729"
16,B0C4FK4XX9,"Sistema de cultivo hidropónico Jardín interior: 8 vainas Kit de jardín de hierbas para interiores con luz LED de cultivo silenciosa, bomba de agua inteligente, temporizador automático, hierbas frescas y saludables, jardinera hidropónica para cocina del hogar","https://m.media-amazon.com/images/I/813cEGxEkbL._AC_UL320_.jpg","URUQ","$51.99","5,605","2,098","38","$109,050","450",4.50,FBA,"$15.91","Patio, Lawn & Garden",1,12.13" x 8.62" x 7.64","3.73","2023-06-20","1,022"
18,B0FVVC6J3Q,"Sistema de cultivo hidropónico Jardín: 8 cápsulas de jardín de hierbas para interiores con luz de crecimiento Kit de germinación silencioso automático hidropónico altura ajustable - Regalos de jardinería para mujeres Cocina","https://m.media-amazon.com/images/I/718Z9R76IlL._AC_UL320_.jpg","URUQ","$51.99","5,605","2,060","38","$107,125","450",4.50,FBA,"$15.91","Patio, Lawn & Garden",1,11.97" x 8.54" x 7.8","3.64","2025-10-12","177"
5,B0DFQ25GY5,"Kit de sistema de cultivo hidropónico Ahopegarden Jardín de hierbas hidropónico de interior con luz de crecimiento 12 cápsulas, con panel táctil LCD Jardinera hidropónica, altura de plantación hasta","https://m.media-amazon.com/images/I/81VxSjMq8yL._AC_UL320_.jpg","Ahopegarden","$59.99","6,047","1,718","36","$103,064","825",4.60,FBA,"$17.76","Patio, Lawn & Garden",2,17.95" x 8.66" x 7.4","5.34","2024-08-30","585"
