Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
13,B0BDF8CVBN,"Iluminación bajo gabinete de 10 pulgadas, paquete de 2 luces recargables con sensor de movimiento para interiores, 5 niveles regulables, luces magnéticas para armario, luces inalámbricas bajo","https://m.media-amazon.com/images/I/61x62WLGvNL._AC_UL320_.jpg","MCGOR","$21.99","2","98,865","4,257","$2,174,033","53,408",4.50,FBA,"$7.19","Tools & Home Improvement",7,12.72" x 3.43" x 0.71","0.73","2022-09-27","1,289"
15,B099S9DXT7,"Govee RGBIC - Tira de luces LED inteligentes de 32.8 pies para dormitorio, luces LED Bluetooth con control de aplicación, varios colores en una línea, tira LED que cambia de color, sincronización de","https://m.media-amazon.com/images/I/71U-8UJ6MoL._AC_UL320_.jpg","Govee","$26.09","78","29,791","867","$777,244","24,287",4.40,FBA,"$8.11","Tools & Home Improvement",2,5.35" x 5.28" x 2.68","0.62","2021-09-07","1,674"
5,B09VBZC2CX,"Govee Tira de luces LED RGBIC de 100 pies, luces LED inteligentes que funcionan con Alexa y Google Assistant, luces LED para dormitorio, control de aplicación WiFi, segmentado, varios colores, luz que","https://m.media-amazon.com/images/I/71N76hGMHVL._AC_UL320_.jpg","Govee","$56.99","552","8,790","265","$500,941","6,790",4.50,FBA,"$14.14","Tools & Home Improvement",3,6.34" x 6.26" x 3.23","1.3","2022-05-23","1,416"
1,B09V366BDY,"KSIPZE Tira de luces LED RGB de 100 pies, sincronización de música, luces LED que cambian de color con control de aplicación inteligente y control remoto, luces LED para dormitorio, iluminación de","https://m.media-amazon.com/images/I/71lntIT6FfL._AC_UL320_.jpg","KSIPZE","$9.98","22","45,346","1,540","$452,555","37,533",4.40,FBA,"$4.99","Tools & Home Improvement",9,9.29" x 8.19" x 0.83","0.6","2022-04-30","1,439"
2,B0D4DJ6BRR,"DAYBETTER Tira de luces LED de 130 pies para dormitorio, escritorio, habitación interior, dormitorio, regalos de cumpleaños, decoración RGB con control remoto y fuente de alimentación de 24 V","https://m.media-amazon.com/images/I/81Pru4iSlsL._AC_UL320_.jpg","DAYBETTER","$9.98","33","41,761","1,297","$416,775","39,307",4.30,FBA,"$4.38","Tools & Home Improvement",5,9.96" x 8.74" x 0.75","0.6","2023-03-16","1,119"
3,B0991Q94KP,"Govee Tira de luces LED RGBIC, luces LED inteligentes para recámara, luces LED Bluetooth con control de aplicación, múltiples colores en una línea, luces LED que cambian de color, sincronización de","https://m.media-amazon.com/images/I/71tjdZg28vL._AC_UL320_.jpg","Govee","$13.49","78","29,900","867","$403,347","24,287",4.40,FBA,"$5.97","Tools & Home Improvement",2,4.65" x 4.45" x 2.05","0.44","2021-07-09","1,734"
36,B099WX9K4V,"Govee RGBIC - Tira de luz LED Alexa de 32.8 pies, luces LED inteligentes WiFi que funcionan con Alexa y Google Assistant, bricolaje segmentado, sincronización de música, tira de luces LED que cambian","https://m.media-amazon.com/images/I/71GkPQmnM8L._AC_UL320_.jpg","Govee","$40.49","552","8,867","265","$359,044","6,788",4.50,FBA,"$10.27","Tools & Home Improvement",1,5.35" x 5.24" x 2.64","0.62","2021-07-20","1,723"
19,B01HBT3BVM,"Barrina (Paquete de 6) Artefacto individual candil LED T5 integrado, 4 pies, 2200lm, 6500K (Blanco súper claro), 20W, Luz para tienda, techo y debajo clóset, cable eléctrico con interruptor de ENCENDIDO/APAGADO integrado.","https://m.media-amazon.com/images/I/61Avxv3zaYL._AC_UL320_.jpg","Barrina","$42.49","749","6,703","217","$284,796","21,137",4.60,FBA,"$18.75","Tools & Home Improvement",5,47.24" x 4.49" x 3.27","4.7","2016-06-20","3,578"
16,B0D736VXNX,"Govee RGBIC Tiras de Luces LED de 32.8 pies con Cubiertas, Luces Inteligentes que Funcionan con Alexa y Google Assistant, Canal Difusor LED con Luces LED para Dormitorio, Líneas de Zócalo, Estudio","https://m.media-amazon.com/images/I/71vU-gX+9QL._AC_UL320_.jpg","Govee","$119.99","3,115","1,983","73","$237,966","956",4.30,FBA,"$26.35","Tools & Home Improvement",1,16.89" x 7.6" x 6.46","6.28","2024-07-16","631"
27,B09C7F16KT,"Luces LED para TV, luces LED de 16.4 pies para televisores de 45 a 75 pulgadas, retroiluminación de TV RGB, sincronización de música, aplicación Bluetooth y control remoto, tira de luces","https://m.media-amazon.com/images/I/81+xiflj8RL._AC_UL320_.jpg","KANTUTOE","$9.99","223","15,500","463","$154,844","7,860",4.40,FBA,"$4.10","Tools & Home Improvement",1,7.28" x 4.13" x 0.71","0.24","2021-08-10","1,702"
48,B0D7M46RND,"Govee COB - Tira de luz LED Pro, luces LED para dormitorio, compatible con Alexa, Google Assistant y Matter, luz RGBICW con blanco cálido, tira de luz inteligente, luces LED para dormitorio, cambio de","https://m.media-amazon.com/images/I/71kZjaRt7hL._AC_UL320_.jpg","Govee","$84.99","6,842","1,808","37","$153,661","606",4.50,FBA,"$19.27","Tools & Home Improvement",2,9.53" x 9.45" x 3.43","2.61","2024-09-01","584"
