Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
25,B0FF3GMW36,"Silla de oficina grande y alta, reposabrazos abatibles para mascotas y patas cruzadas, silla ergonómica ejecutiva para juegos de computadora con reposapiés, asiento ancho de forro polar de peluche, silla de escritorio reclinable blanca","https://m.media-amazon.com/images/I/71q6NGnMi1L._AC_UL320_.jpg","HOMRELEXA","$249.99","899","4,316","165","$1,078,855","570",4.40,FBM,"$106.82","Office Products",1,27.17" x 25.59" x 18.9","49.16","2025-06-22","290"
73,B0FF3GMW36,"Silla de oficina grande y alta, reposabrazos abatibles para mascotas y patas cruzadas, silla ergonómica ejecutiva para juegos de computadora con reposapiés, asiento ancho de forro polar de peluche, silla de escritorio reclinable blanca","https://m.media-amazon.com/images/I/71q6NGnMi1L._AC_UL320_.jpg","HOMRELEXA","$249.99","899","4,316","165","$1,078,855","570",4.40,FBM,"$106.82","Office Products",1,27.17" x 25.59" x 18.90","49.16","2025-06-22","290"
29,B0CG6V2XGS,"TRALT Silla de oficina ergonómica, silla de escritorio ergonómica de 330 libras, sillas de escritorio de oficina de malla para el hogar con ruedas, cómoda silla de juegos, silla de oficina con respaldo alto para largas horas (negro)","https://m.media-amazon.com/images/I/81BLi0KQXeL._AC_UL320_.jpg","TRALT","$132.99","1,996","7,224","233","$960,780","5,433",4.30,FBA,"$40.42","Home & Kitchen",2,22.56" x 20.87" x 10.31","30.72","2023-08-21","960"
77,B0CG6V2XGS,"TRALT Silla de oficina ergonómica, silla de escritorio ergonómica de 330 libras, sillas de escritorio de oficina de malla para el hogar con ruedas, cómoda silla de juegos, silla de oficina con respaldo alto para largas horas (negro)","https://m.media-amazon.com/images/I/81BLi0KQXeL._AC_UL320_.jpg","TRALT","$132.99","1,996","7,224","233","$960,780","5,433",4.30,FBA,"$40.42","Home & Kitchen",2,22.56" x 20.87" x 10.31","30.72","2023-08-21","960"
16,B07Y8BXBX8,"GABRYLLY Silla de Oficina Ergonómica, Silla de Escritorio de Respaldo Alto para el Hogar con Reposacabezas, Brazos Abatibles, Bloqueo de Inclinación de 90-120° y Cojín Ancho, Sillas de Malla Grandes y","https://m.media-amazon.com/images/I/71AcTAu8-9L._AC_UL320_.jpg","Gabrylly","$269.50","6,797","3,499","98","$942,906","14,257",4.40,FBA,"$65.46","Home & Kitchen",3,28.5" x 20.51" x 10.98","46.93","2019-09-23","2,389"
64,B07Y8BXBX8,"GABRYLLY Silla de Oficina Ergonómica, Silla de Escritorio de Respaldo Alto para el Hogar con Reposacabezas, Brazos Abatibles, Bloqueo de Inclinación de 90-120° y Cojín Ancho, Sillas de Malla Grandes y","https://m.media-amazon.com/images/I/71AcTAu8-9L._AC_UL320_.jpg","Gabrylly","$269.50","6,797","3,499","98","$942,906","14,257",4.40,FBA,"$65.46","Home & Kitchen",3,28.5" x 20.51" x 10.98","46.93","2019-09-23","2,389"
15,B0CQD4MTWM,"TRALT Silla de oficina – Silla de escritorio ergonómica con soporte lumbar ajustable, silla de computadora de malla, sillas ejecutivas para oficina en casa, cómodo soporte lumbar (blanco)","https://m.media-amazon.com/images/I/71VOSFwUE+L._AC_UL320_.jpg","TRALT","$113.99","2,449","7,256","207","$827,083","3,933",4.40,FBA,"$40.79","Home & Kitchen",2,22.48" x 20.98" x 10","30.41","2023-08-22","959"
63,B0CQD4MTWM,"TRALT Silla de oficina – Silla de escritorio ergonómica con soporte lumbar ajustable, silla de computadora de malla, sillas ejecutivas para oficina en casa, cómodo soporte lumbar (blanco)","https://m.media-amazon.com/images/I/71VOSFwUE+L._AC_UL320_.jpg","TRALT","$113.99","2,449","7,256","207","$827,083","3,933",4.40,FBA,"$40.79","Home & Kitchen",2,22.48" x 20.98" x 10.00","30.41","2023-08-22","959"
1,B0FQDM23S4,"BestOffice | Silla ergonómica de oficina | Silla de escritorio giratoria de respaldo medio | Respaldo y soporte lumbar transpirable | Altura ajustable | Asiento de esponja | Ruedas giratorias | Negro","https://m.media-amazon.com/images/I/71pJG761-UL._AC_UL320_.jpg","BestOffice","$38.98","356","20,460","627","$797,548","62,983",4.30,AMZ,"$27.51","Home & Kitchen",10,22.48" x 18.74" x 9.49","20","2020-05-21","2,147"
49,B0FQDM23S4,"BestOffice | Silla ergonómica de oficina | Silla de escritorio giratoria de respaldo medio | Respaldo y soporte lumbar transpirable | Altura ajustable | Asiento de esponja | Ruedas giratorias | Negro","https://m.media-amazon.com/images/I/71pJG761-UL._AC_UL320_.jpg","BestOffice","$38.98","356","20,460","627","$797,548","62,983",4.30,AMZ,"$27.51","Home & Kitchen",10,22.48" x 18.74" x 9.49","20.00","2020-05-21","2,147"
