Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
12,B0F1TNK61D,"Miracase Funda magnética para iPhone 16e de cuerpo completo con protector de pantalla de vidrio integrado, [compatible con MagSafe] militar a prueba de caídas 16 E cubierta parachoques 6.1 pulgadas","https://m.media-amazon.com/images/I/71XGzciBCwL._AC_UY218_.jpg","Miracase","$21.95","13","43,838","1,357","$962,239","107,526",4.30,FBA,"$6.71","Cell Phones & Accessories",3,7.17" x 3.74" x 0.75","0.22","2025-03-18","386"
1,B0D9VS4PV7,"SUPFINE - Funda magnética para iPhone 14 y iPhone 13, apta para MagSafe (protección contra caídas de grado militar de 10 pies), delgada, translúcida, a prueba de golpes, funda antihuellas, negro","https://m.media-amazon.com/images/I/71LS35zBKWL._AC_UY218_.jpg","supfine","$7.79","3","74,918","2,362","$583,611","59,811",4.60,FBA,"$3.66","Cell Phones & Accessories",4,6.22" x 3.19" x 0.67","0.13","2024-07-22","625"
2,B0DFH8SNK5,"FNTCASE - Funda para iPhone 15, iPhone 14 y iPhone 13, magnética, translúcida, fina y antigolpes, protección de grado militar, resistente a caídas, rosa","https://m.media-amazon.com/images/I/614X8fuwcxL._AC_UY218_.jpg","FNTCASE","$8.99","12","42,626","1,398","$383,207","24,561",4.50,FBA,"$3.78","Cell Phones & Accessories",4,7.4" x 4.53" x 0.55","0.11","2024-08-29","587"
6,B0CGCMS31N,"OtterBox Funda para iPhone 16e, 15, 14 y 13 Commuter Series, color negro, delgada y resistente, apta para bolsillo, con protección de puerto","https://m.media-amazon.com/images/I/71Go+X-xMOL._AC_UY218_.jpg","OtterBox","$23.90","118","15,860","500","$379,042","8,552",4.60,FBA,"$7.00","Cell Phones & Accessories",37,4.37" x 2.05" x 0.75","0.22","2023-09-12","939"
11,B099JVC9HL,"ESR Funda para iPhone 14/iPhone 13, Compatible con MagSafe, Funda Magnética Híbrida Clásica para Teléfono Móvil iPhone 14/13, Estándar Militar, Protección contra Caídas, Transparente","https://m.media-amazon.com/images/I/51rRDJJRtSL._AC_UY218_.jpg","ESR","$9.99","16","36,292","1,254","$362,555","151,506",4.70,FBA,"$3.93","Cell Phones & Accessories",7,6.42" x 3.27" x 0.71","0.09","2021-08-02","1,710"
10,B0DB1B3GH6,"FNTCASE Funda transparente para iPhone 16: fundas magnéticas para teléfonos con protector de pantalla a prueba de caídas compatibles con Magsafe Slim Anti Amarillaje, resistente, a prueba de golpes","https://m.media-amazon.com/images/I/71IVogw1EXL._AC_UY218_.jpg","FNTCASE","$5.36","4","56,338","2,118","$301,973","69,105",4.60,FBA,"$3.19","Cell Phones & Accessories",3,7.36" x 4.41" x 0.67","0.11","2024-07-24","623"
5,B0CFVDX4HT,"FNTCASE Funda transparente para iPhone 15: Funda para iPhone 14/13, fundas magnéticas para teléfono con protector de pantalla compatible con Magsafe delgada antiamarillamiento resistente funda","https://m.media-amazon.com/images/I/41mx-ZP63SL._AC_UY218_.jpg","FNTCASE","$5.36","4","56,071","2,118","$300,540","69,105",4.60,FBA,"$3.23","Cell Phones & Accessories",2,7.32" x 4.49" x 0.55","0.11","2023-09-25","926"
8,B09KX1LKGR,"OCTOBUDDY Classic - Funda de silicona con ventosa para teléfono con montaje adhesivo - Soporte de agarre fuerte para manos libres, ideal para selfies y videos - Compatible con iPhone y Android - 5,7","https://m.media-amazon.com/images/I/717FeA-BKjL._AC_UY218_.jpg","OCTOBUDDY","$14.99","52","19,666","760","$294,795","10,138",4.40,FBA,"$5.57","Cell Phones & Accessories",1,4.57" x 3.5" x 0.28","0.04","2022-02-17","1,510"
14,B0B7C9SPSF,"OtterBox - Funda serie Commuter para iPhone 14 y 13, color negro, delgada y resistente, apta para bolsillo, con protección de puerto de carga","https://m.media-amazon.com/images/I/61enjLcjnUL._AC_UY218_.jpg","OtterBox","$19.70","133","11,995","470","$236,309","11,440",4.60,FBA,"$6.38","Cell Phones & Accessories",36,6.57" x 3.54" x 0.67","0.13","2022-09-06","1,310"
3,B0DRF9WYV5,"GolbinBox Funda magnética para iPhone 13 y iPhone 14, compatible con MagSafe, [forro de microfibra suave antiarañazos], funda protectora delgada de silicona líquida a prueba de golpes de 6.1 pulgadas, color rosa tiza","https://m.media-amazon.com/images/I/71g7XAqc5XL._AC_UY218_.jpg","GolbinBox","$9.99","62","20,875","694","$208,540","3,908",4.60,FBA,"$3.99","Cell Phones & Accessories",2,7.36" x 4.06" x 0.67","0.2","2024-12-25","469"
16,B0FGC514QH,"TORRAS Funda transparente para iPhone 17 Pro, ultradelgada, mejorada 2025 sin amarilleo, protección de grado militar, funda delgada transparente para iPhone 17 Pro, suave, antiarañazos, transparente","https://m.media-amazon.com/images/I/71L6TNwtQJL._AC_UY218_.jpg","TORRAS","$13.29","91","14,624","571","$194,357","49,505",4.50,FBA,"$5.31","Cell Phones & Accessories",4,7.13" x 6.93" x 0.75","0.11","2025-07-02","280"
15,B0DXPWLHMP,"GONEZ Funda de silicona para iPhone 15 Pro Max, compatible con Magsafe, protector de cámara + protector de pantalla, forro de microfibra suave antiarañazos, cubierta de teléfono de silicona líquida a","https://m.media-amazon.com/images/I/71e+ChgSMtL._AC_UY218_.jpg","GONEZ","$9.99","74","17,398","634","$173,805","18,101",4.50,FBA,"$3.99","Cell Phones & Accessories",3,7.44" x 4.02" x 0.75","0.22","2025-02-19","413"
13,B0FDQQYDGW,"ORNARTO Funda compatible con iPhone 17 Pro Max de 6.9 pulgadas, silicona líquida delgada de 3 capas de goma de gel suave a prueba de golpes con forro de microfibra antiarañazos, color rosa tiza","https://m.media-amazon.com/images/I/61g4NZukkLL._AC_UY218_.jpg","ORNARTO","$9.97","179","11,967","404","$119,312","2,179",4.70,FBA,"$3.99","Cell Phones & Accessories",1,6.89" x 3.5" x 0.67","0.13","2025-09-09","211"
4,B0DSBDH1XP,"Funda compatible con iPhone 13 y iPhone 14 con bonito diseño de estética de lunares a la moda, simple funda de protección delgada de TPU suave para iPhone 13/14, color blanco","https://m.media-amazon.com/images/I/51XW7PpANaL._AC_UY218_.jpg","inewateri","$9.99","212","10,145","337","$101,349","1,192",4.60,FBA,"$3.93","Cell Phones & Accessories",1,8.43" x 4.88" x 0.43","0.09","2025-01-04","459"
9,B0B6BFTMTW,"Nvollnoe Funda para iPhone 14 Pro Max con tarjetero resistente de protección de doble capa a prueba de golpes, ranura para tarjetas oculta, funda delgada para iPhone 14 Pro Max para mujeres y hombres","https://m.media-amazon.com/images/I/713fNiyB55L._AC_UY218_.jpg","Nvollnoe","$11.99","1,472","2,583","85","$30,974","3,936",4,FBA,"$5.12","Cell Phones & Accessories",1,6.97" x 4.72" x 0.67","0.11","2022-09-05","1,311"
7,B0G1HC82ZH,"DJBEAR Funda tipo cartera para iPhone 17 Pro Max de 6.9 pulgadas para hombres y mujeres, todo en uno con 9 ranuras para tarjetas, bolsillo con cremallera, correa de muñeca desmontable, protección","https://m.media-amazon.com/images/I/81GrJzp2LlL._AC_UY218_.jpg","DJBEAR","$24.99","16,489","174","7","$4,340","---",---,FBA,"$7.70","Cell Phones & Accessories",1,7.68" x 7.17" x 0.87","0.37","2026-02-28","39"
