Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
13,B0D7DKJ75M,"Anker MagGo Power Bank, batería magnética ultradelgada de 10,000 mAh, con certificación Qi2 de 15 W, cargador portátil ultra rápido compatible con MagSafe, diseño ergonómico, solo para iPhone 17/16/15","https://m.media-amazon.com/images/I/618crocn6IL._AC_UY218_.jpg","Anker","$63.99","174","13,912","410","$890,232","6,837",4.50,FBA,"$14.17","Cell Phones & Accessories",1,5.75" x 4.02" x 1.46","0.73","2024-06-19","657"
24,B0F8HXYD46,"Anker Nano Power Bank, Batería de Carga Magnética Inalámbrica de 5,000mAh Ultradelgada, Cargador Portátil Compatible con MagSafe de Máximo 15W Certificado Qi2, Diseño Ergonómico, para iPhone Serie Air","https://m.media-amazon.com/images/I/51yCHZ3+xfL._AC_UY218_.jpg","Anker","$54.99","173","13,665","411","$751,422","2,283",4.40,FBA,"$12.07","Cell Phones & Accessories",3,5.91" x 4.33" x 0.67","0.37","2025-05-13","329"
16,B099YQFXM6,"Anker 621 Cargador portátil magnético (MagGo), Banco de energía inalámbrico de 5,000 mAh con cable USB-C, paquete de batería compatible con Magsafe para iPhone 16/15/14/13/12 Series","https://m.media-amazon.com/images/I/61FbvXVXt1L._AC_UY218_.jpg","Anker","$42.99","67","15,970","667","$686,565","18,651",4.30,FBA,"$10.10","Cell Phones & Accessories",2,6.77" x 5.12" x 0.63","0.41","2022-08-10","1,336"
19,B099W63VYV,"Anker 621 Cargador portátil magnético (MagGo), Banco de energía inalámbrico de 5,000 mAh con cable USB-C, paquete de batería compatible con Magsafe para iPhone 16/15/14/13/12 Series","https://m.media-amazon.com/images/I/619KytnY3ZL._AC_UY218_.jpg","Anker","$42.99","67","15,932","667","$684,908","18,651",4.30,FBA,"$10.10","Cell Phones & Accessories",1,5.16" x 4.29" x 0.75","0.4","2022-08-09","1,336"
4,B099284SRR,"Anker 621 Cargador portátil magnético (MagGo), Banco de energía inalámbrico de 5,000 mAh con cable USB-C, paquete de batería compatible con Magsafe para iPhone 16/15/14/13/12 Series","https://m.media-amazon.com/images/I/61BgnPuSS2L._AC_UY218_.jpg","Anker","$42.99","67","15,757","667","$677,380","18,651",4.30,FBA,"$10.10","Cell Phones & Accessories",1,6.69" x 5.12" x 0.75","0.44","2022-08-09","1,336"
2,B0CSW947RH,"podoru - Banco de energía Magsafe, 5000 mAh, magnético, con cable tipo C 20 W PD, carga rápida entrada Lighting, cargador portátil inalámbrico para iPhone 16/15/14/13/12/todas las series-negro","https://m.media-amazon.com/images/I/61LRFwys3NL._AC_UY218_.jpg","Podoru","$21.99","50","21,324","775","$468,911","9,326",4.40,FBA,"$6.86","Cell Phones & Accessories",3,4.06" x 3.54" x 0.75","0.33","2024-01-20","808"
1,B0FB2SDTB9,"Cargador portátil Magsafe, banco de energía magnético inalámbrico delgado de 5000 mAh con carga USB C, esencial de viaje para batería Magsafe compatible con iPhone 17/16/15/14/13/12, gris grafito","https://m.media-amazon.com/images/I/61qMCWoFtcL._AC_UY218_.jpg","TRKOY","$19.99","123","14,066","489","$281,174","5,547",4.40,FBA,"$7.06","Cell Phones & Accessories",2,5.43" x 3.23" x 0.83","0.35","2025-05-28","314"
22,B09NRG4GK3,"Anker Batería magnética 633, cargador portátil inalámbrico plegable de 10,000 mAh, cargador portátil inalámbrico de 20 W USB-C con soporte, compatible con Magsafe para iPhone serie 16/15/14/13/12 (negro)","https://m.media-amazon.com/images/I/51rbo5J8NhL._AC_UY218_.jpg","Anker","$59.99","799","4,631","141","$277,807","11,001",4.40,FBA,"$13.31","Cell Phones & Accessories",3,5.91" x 3.74" x 1.57","0.57","2021-12-17","1,572"
14,B0F3XRCF5P,"[0,3 cm Ultra Slim] [Hecho de aleación] para Magsafe Cargador portátil para iPhone, 5000mAh Batería de carga rápida magnética de 2025 de mejora, Paquete de batería inalámbrica para iPhone 17","https://m.media-amazon.com/images/I/613lV0gs73L._AC_UY218_.jpg","ULiXWH","$29.99","463","7,376","202","$221,209","999",4.30,FBA,"$8.06","Cell Phones & Accessories",1,4.53" x 3.62" x 0.67","0.37","2025-06-17","294"
11,B0D8LBCHGN,"TORRAS MiniMag Power Bank, cargador portátil inalámbrico ultra delgado de 10,000 mAh, batería magnética de carga rápida de 22.5 W para iPhone diseñada para iPhone 17 Pro Max/17 Pro/Air/16/15/14/13/12, gris","https://m.media-amazon.com/images/I/612zBzQz7rL._AC_UY218_.jpg","TORRAS","$44.98","452","4,660","205","$209,603","1,578",4.40,FBA,"$11.06","Cell Phones & Accessories",2,7.2" x 3.15" x 0.94","0.53","2024-07-25","621"
