Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
3,B000QSNYGI,"Optimum Nutrition Estándar dorado 100% Proteína de Suero de Leche en Polvo, Pie de lima, 1.8 Libra","https://m.media-amazon.com/images/I/71Lw7FkgniL._AC_UL320_.jpg","Optimum Nutrition","$81.99","17","84,432","2,972","$6,922,596","96,795",4.60,AMZ,"$20.41","Health & Household",4,10.04" x 7.91" x 7.91","5.56","2024-04-10","728"
21,B01LTI96QU,"Dymatize ISO100 Proteína de suero en polvo aislada, Galletas y crema, 25 g de proteína, 5 libras, 5.5 g de BCAA, Menos de 120 calorías, Sin gluten, 1 g de grasa, 1 g de azúcar, 2 g de carbohidratos","https://m.media-amazon.com/images/I/81nBvFc5pxL._AC_UL320_.jpg","Dymatize","$139.99","129","43,875","1,418","$6,142,053","3,315",4.60,AMZ,"$29.11","Health & Household",2,10.83" x 7.72" x 7.64","5.7","2012-04-06","5,114"
2,B000GISTZ4,"Optimum Nutrition Estándar dorado 100% Proteína de Suero de Leche en Polvo, Pie de lima, 1.8 Libra","https://m.media-amazon.com/images/I/71BFejouWCL._AC_UL320_.jpg","Optimum Nutrition","$39.11","17","84,466","2,972","$3,303,452","45,282",4.70,AMZ,"$12.13","Health & Household",6,9.92" x 6.02" x 5.87","2.31","2024-04-10","728"
1,B002DYIZH6,"Optimum Nutrition Gold Standard 100% proteína de suero en polvo, chocolate doble rico, 1.98 libras (el embalaje puede variar)","https://m.media-amazon.com/images/I/71aEQamI-aL._AC_UL320_.jpg","Optimum Nutrition","$35.99","17","84,426","2,972","$3,038,503","95,747",4.60,AMZ,"$11.66","Health & Household",5,9.88" x 6.02" x 5.91","2.36","2024-04-10","728"
25,B01JNUHAIC,"Levels proteína de suero alimentado con pasto en polvo, sin artificiales, 25G de proteína, sin sabor, 5 libras","https://m.media-amazon.com/images/I/61imgLhXCaL._AC_UL320_.jpg","Levels Nutrition","$89.99","295","30,778","982","$2,769,687","2,636",4.50,FBA,"$21.61","Health & Household",4,10.79" x 7.8" x 7.68","5.69","2016-10-21","3,456"
37,B002DYIZEO,"Optimum Nutrition Creatina Micronizada Monohidrato en Polvo, Sin Sabor, 120 Porciones, 600 Gramos (El Embalaje Puede Variar)","https://m.media-amazon.com/images/I/71SGNJz5y8L._AC_UL320_.jpg","Optimum Nutrition","$27.99","13","94,822","3,178","$2,654,068","96,753",4.60,AMZ,"$9.62","Health & Household",7,6.57" x 3.86" x 3.82","1.46","2024-04-08","730"
38,B079J51NNB,"Isopure Proteína en polvo 100% aislado de suero puro bajo en carbohidratos, sin lactosa, sin gluten, con vitaminas, chocolate y mantequilla de maní, 25 g de proteína por porción, 3 libras, 40","https://m.media-amazon.com/images/I/71tGV8BlmBL._AC_UL320_.jpg","Isopure","$86.99","343","27,125","894","$2,359,614","1,235",4.20,AMZ,"$20.44","Health & Household",2,10.59" x 6.02" x 5.91","3.42","2018-01-30","2,990"
13,B09MR7XY9P,"Dymatize ISO100 Proteína en Polvo de Suero Aislado, Galletas y Crema, 0.88 onzas (25 g) de Proteína, 0.19 onzas (5.5 g) de BCAA, Menos de 120 Calorías, Sin Gluten, 1 g de Grasa, 1 g de Azúcar, 2 g de","https://m.media-amazon.com/images/I/81GtskduV-L._AC_UL320_.jpg","Dymatize","$44.49","129","44,040","1,418","$1,959,360","3,311",4.60,AMZ,"$12.59","Health & Household",5,8.82" x 5.91" x 5.83","1.72","2021-11-29","1,591"
33,B00NLR1PX0,"Vital Proteins - Péptidos de colágeno en polvo avanzados con ácido hialurónico y vitamina C, suplementos de colágeno, sin sabor, 12 porciones","https://m.media-amazon.com/images/I/71qQ0ib+mOL._AC_UL320_.jpg","Vital Proteins","$25.99","44","66,997","2,243","$1,741,256","213,005",4.40,FBA,"$8.10","Health & Household",4,6.42" x 3.66" x 3.58","0.75","2014-05-07","4,353"
23,B0855R418S,"Dymatize x Fruity Pebbles ISO100 Whey Protein Powder Isolate, 25g of Protein, 5.5g BCAAs, 120 Cal., Gluten Free, 1g Fat, 1g Sugar, 2g Carb (75 Servings)","https://m.media-amazon.com/images/I/81BdTD5yTEL._AC_UL320_.jpg","Dymatize","$131.48","1,129","12,689","453","$1,668,364","20,532",4.60,AMZ,"$27.83","Health & Household",4,10.71" x 7.8" x 7.72","5.75","2020-03-15","2,215"
