Pos.,ASIN,Product Title,Thumbnail,Brand,Price,BSR,Mo. Sales,D. Sales,Mo. Revenue,Reviews,Rating,Seller,Fees,Category,Offers,Dimensions,Weight (lbs),Listed Since,Days Live
21,B07YN1W5W3,"ProsourceFit - Tapete de ejercicio tipo rompecabezas de ½ pulgada, losetas de espuma EVA entrelazadas para gimnasio en casa, para niños, negro, 24 x 24 x ½ pulgada, 48 pies cuadrados, 12 azulejos","https://m.media-amazon.com/images/I/81fN-vJAKUL._AC_UL320_.jpg","ProsourceFit","$49.99","54","23,125","801","$1,156,003","59,647",4.60,AMZ,"$25.69","Sports & Outdoors",12,25.39" x 25.2" x 6.26","9.6","2019-10-02","2,380"
62,B07YN1W5W3,"ProsourceFit - Tapete de ejercicio tipo rompecabezas de ½ pulgada, losetas de espuma EVA entrelazadas para gimnasio en casa, para niños, negro, 24 x 24 x ½ pulgada, 48 pies cuadrados, 12 azulejos","https://m.media-amazon.com/images/I/81fN-vJAKUL._AC_UL320_.jpg","ProsourceFit","$49.99","54","23,125","801","$1,156,003","59,647",4.60,AMZ,"$25.69","Sports & Outdoors",12,25.39" x 25.2" x 6.26","9.6","2019-10-02","2,380"
11,B092XNCFF7,"Retrospec Solana - Tapete de yoga de 1 pulgada de grosor con correa de nailon, unisex, antideslizante, para yoga, pilates, estiramiento, ejercicios en el suelo y entrenamiento físico","https://m.media-amazon.com/images/I/61T8eKzs2VL._AC_UL320_.jpg","RetroSpec","$39.99","102","21,594","591","$863,536","14,089",4.50,AMZ,"$18.87","Sports & Outdoors",11,24.76" x 9.13" x 8.82","4.05","2024-04-09","729"
52,B092XNCFF7,"Retrospec Solana - Tapete de yoga de 1 pulgada de grosor con correa de nailon, unisex, antideslizante, para yoga, pilates, estiramiento, ejercicios en el suelo y entrenamiento físico","https://m.media-amazon.com/images/I/61T8eKzs2VL._AC_UL320_.jpg","RetroSpec","$39.99","102","21,594","591","$863,536","14,089",4.50,AMZ,"$18.87","Sports & Outdoors",11,24.76" x 9.13" x 8.82","4.05","2024-04-09","729"
4,B01LP0UX9G,"Amazon Basics Extra Thick Exercise Yoga Mat with Carrying Strap","https://m.media-amazon.com/images/I/71U3oP3IqsL._AC_UL320_.jpg","Amazon Basics","$21.58","7","38,739","1,517","$835,996","67,765",4.60,AMZ,"$14.59","Sports & Outdoors",3,25.2" x 7.68" x 7.48","2.95","2024-04-09","729"
45,B01LP0UX9G,"Amazon Basics Extra Thick Exercise Yoga Mat with Carrying Strap","https://m.media-amazon.com/images/I/71U3oP3IqsL._AC_UL320_.jpg","Amazon Basics","$21.58","7","38,739","1,517","$835,996","67,765",4.60,AMZ,"$14.59","Sports & Outdoors",3,25.2" x 7.68" x 7.48","2.95","2024-04-09","729"
1,B01LP0U5X0,"Amazon Basics Extra Thick Exercise Yoga Mat with Carrying Strap","https://m.media-amazon.com/images/I/61WrjbRYC3L._AC_UL320_.jpg","Amazon Basics","$21.58","7","38,654","1,517","$834,159","67,765",4.60,AMZ,"$14.59","Sports & Outdoors",9,25.12" x 7.6" x 7.48","2.95","2024-04-09","729"
42,B01LP0U5X0,"Amazon Basics Extra Thick Exercise Yoga Mat with Carrying Strap","https://m.media-amazon.com/images/I/61WrjbRYC3L._AC_UL320_.jpg","Amazon Basics","$21.58","7","38,654","1,517","$834,159","67,765",4.60,AMZ,"$14.59","Sports & Outdoors",9,25.12" x 7.6" x 7.48","2.95","2024-04-09","729"
2,B07H9PDL2Y,"Gaiam Yoga Mat, Pilates & Exercise Mat, Thick 2/5","https://m.media-amazon.com/images/I/81Mb+wFuOML._AC_UL320_.jpg","Gaiam","$26.28","56","22,079","787","$580,233","45,640",4.60,AMZ,"$16.21","Sports & Outdoors",14,25.43" x 7.01" x 7.01","2.85","2024-04-08","730"
43,B07H9PDL2Y,"Gaiam Yoga Mat, Pilates & Exercise Mat, Thick 2/5","https://m.media-amazon.com/images/I/81Mb+wFuOML._AC_UL320_.jpg","Gaiam","$26.28","56","22,079","787","$580,233","45,640",4.60,AMZ,"$16.21","Sports & Outdoors",14,25.43" x 7.01" x 7.01","2.85","2024-04-08","730"
9,B091FX694F,"Retrospec Solana - Esterilla de yoga de 1/2 pulgada de grosor con correa de nailon para hombres y mujeres, tapete de ejercicio antideslizante para yoga, pilates, estiramiento, entrenamiento de suelo y","https://m.media-amazon.com/images/I/61JebJK2odL._AC_UL320_.jpg","RetroSpec","$24.99","144","16,304","502","$407,438","8,439",4.40,AMZ,"$14.72","Sports & Outdoors",11,25.2" x 7.24" x 7.17","2.87","2024-04-09","729"
50,B091FX694F,"Retrospec Solana - Esterilla de yoga de 1/2 pulgada de grosor con correa de nailon para hombres y mujeres, tapete de ejercicio antideslizante para yoga, pilates, estiramiento, entrenamiento de suelo y","https://m.media-amazon.com/images/I/61JebJK2odL._AC_UL320_.jpg","RetroSpec","$24.99","144","16,304","502","$407,438","8,439",4.40,AMZ,"$14.72","Sports & Outdoors",11,25.20" x 7.24" x 7.17","2.87","2024-04-09","729"
10,B091FXWSGJ,"Retrospec Solana - Esterilla de yoga de 1/2 pulgada de grosor con correa de nailon para hombres y mujeres, tapete de ejercicio antideslizante para yoga, pilates, estiramiento, entrenamiento de suelo y","https://m.media-amazon.com/images/I/71eq-L68WQL._AC_UL320_.jpg","RetroSpec","$24.99","144","16,005","502","$399,977","8,439",4.40,AMZ,"$15.10","Sports & Outdoors",11,25.55" x 7.95" x 7.13","2.62","2024-04-08","730"
51,B091FXWSGJ,"Retrospec Solana - Esterilla de yoga de 1/2 pulgada de grosor con correa de nailon para hombres y mujeres, tapete de ejercicio antideslizante para yoga, pilates, estiramiento, entrenamiento de suelo y","https://m.media-amazon.com/images/I/71eq-L68WQL._AC_UL320_.jpg","RetroSpec","$24.99","144","16,005","502","$399,977","8,439",4.40,AMZ,"$15.10","Sports & Outdoors",11,25.55" x 7.95" x 7.13","2.62","2024-04-08","730"
24,B0D9MWTQ9K,"CAP Barbell All Purpose Folding Anti Tear Exercise Training Aerobic Fitness Gym & Gymnastics Balance Mat | Multiple colors","https://m.media-amazon.com/images/I/71v1o-kvwjL._AC_UL320_.jpg","CAP Barbell","$36.99","331","10,130","337","$374,698","1,946",4.70,AMZ,"$23.36","Sports & Outdoors",2,24.49" x 24.02" x 6.5","5.12","2024-07-20","627"
